# Descripiton: Distribuicao de Modulo de Distancia
# Domain: z in [0, 10]
# Units: z [adm.], mu [mag] 
# z,mu
0.2250000000,40.0898480988
0.2260000000,40.0998981805
0.2270000000,40.1099053144
0.2280000000,40.1198698750
0.2290000000,40.1297922321
0.2300000000,40.1396727502
0.2310000000,40.1495117897
0.2320000000,40.1593097058
0.2330000000,40.1690668494
0.2340000000,40.1787835668
0.2350000000,40.1884601999
0.2360000000,40.1980970863
0.2370000000,40.2076945593
0.2380000000,40.2172529479
0.2390000000,40.2267725772
0.2400000000,40.2362537679
0.2410000000,40.2456968371
0.2420000000,40.2551020976
0.2430000000,40.2644698585
0.2440000000,40.2738004253
0.2450000000,40.2830940993
0.2460000000,40.2923511786
0.2470000000,40.3015719573
0.2480000000,40.3107567262
0.2490000000,40.3199057725
0.2500000000,40.3290193799
0.2510000000,40.3380978288
0.2520000000,40.3471413962
0.2530000000,40.3561503560
0.2540000000,40.3651249785
0.2550000000,40.3740655311
0.2560000000,40.3829722780
0.2570000000,40.3918454803
0.2580000000,40.4006853961
0.2590000000,40.4094922806
0.2600000000,40.4182663857
0.2610000000,40.4270079608
0.2620000000,40.4357172523
0.2630000000,40.4443945038
0.2640000000,40.4530399560
0.2650000000,40.4616538472
0.2660000000,40.4702364126
0.2670000000,40.4787878850
0.2680000000,40.4873084947
0.2690000000,40.4957984692
0.2700000000,40.5042580336
0.2710000000,40.5126874104
0.2720000000,40.5210868198
0.2730000000,40.5294564795
0.2740000000,40.5377966048
0.2750000000,40.5461074088
0.2760000000,40.5543891019
0.2770000000,40.5626418927
0.2780000000,40.5708659873
0.2790000000,40.5790615897
0.2800000000,40.5872289014
0.2810000000,40.5953681222
0.2820000000,40.6034794495
0.2830000000,40.6115630786
0.2840000000,40.6196192030
0.2850000000,40.6276480138
0.2860000000,40.6356497003
0.2870000000,40.6436244499
0.2880000000,40.6515724479
0.2890000000,40.6594938777
0.2900000000,40.6673889209
0.2910000000,40.6752577570
0.2920000000,40.6831005640
0.2930000000,40.6909175179
0.2940000000,40.6987087927
0.2950000000,40.7064745611
0.2960000000,40.7142149936
0.2970000000,40.7219302592
0.2980000000,40.7296205253
