# Descripiton: Distribuicao de Modulo de Distancia
# Domain: z in [0, 10]
# Units: z [adm.], mu [mag] 
# z,mu
0.1630000000,39.4614229254
0.1640000000,39.4756215642
0.1650000000,39.4897375574
0.1660000000,39.5037718852
0.1670000000,39.5177255107
0.1680000000,39.5315993794
0.1690000000,39.5453944203
0.1700000000,39.5591115459
0.1710000000,39.5727516527
0.1720000000,39.5863156218
0.1730000000,39.5998043187
0.1740000000,39.6132185944
0.1750000000,39.6265592849
0.1760000000,39.6398272124
0.1770000000,39.6530231848
0.1780000000,39.6661479968
0.1790000000,39.6792024296
0.1800000000,39.6921872513
0.1810000000,39.7051032175
0.1820000000,39.7179510714
0.1830000000,39.7307315437
0.1840000000,39.7434453537
0.1850000000,39.7560932088
0.1860000000,39.7686758049
0.1870000000,39.7811938271
0.1880000000,39.7936479493
0.1890000000,39.8060388349
0.1900000000,39.8183671368
0.1910000000,39.8306334976
0.1920000000,39.8428385502
0.1930000000,39.8549829172
0.1940000000,39.8670672121
0.1950000000,39.8790920387
0.1960000000,39.8910579916
0.1970000000,39.9029656566
0.1980000000,39.9148156103
0.1990000000,39.9266084209
0.2000000000,39.9383446482
0.2010000000,39.9500248433
0.2020000000,39.9616495496
0.2030000000,39.9732193021
0.2040000000,39.9847346282
0.2050000000,39.9961960475
0.2060000000,40.0076040723
0.2070000000,40.0189592072
0.2080000000,40.0302619498
0.2090000000,40.0415127903
0.2100000000,40.0527122122
0.2110000000,40.0638606922
0.2120000000,40.0749586999
0.2130000000,40.0860066989
0.2140000000,40.0970051457
0.2150000000,40.1079544909
0.2160000000,40.1188551789
0.2170000000,40.1297076476
0.2180000000,40.1405123292
0.2190000000,40.1512696501
0.2200000000,40.1619800306
0.2210000000,40.1726438856
0.2220000000,40.1832616244
0.2230000000,40.1938336506
0.2240000000,40.2043603626
0.2250000000,40.2148421536
0.2260000000,40.2252794115
0.2270000000,40.2356725191
0.2280000000,40.2460218542
0.2290000000,40.2563277897
0.2300000000,40.2665906937
0.2310000000,40.2768109295
0.2320000000,40.2869888557
0.2330000000,40.2971248265
0.2340000000,40.3072191913
0.2350000000,40.3172722953
0.2360000000,40.3272844794
0.2370000000,40.3372560798
0.2380000000,40.3471874291
0.2390000000,40.3570788552
0.2400000000,40.3669306822
0.2410000000,40.3767432303
0.2420000000,40.3865168155
0.2430000000,40.3962517501
0.2440000000,40.4059483425
0.2450000000,40.4156068975
0.2460000000,40.4252277160
0.2470000000,40.4348110954
0.2480000000,40.4443573296
0.2490000000,40.4538667089
0.2500000000,40.4633395200
0.2510000000,40.4727760465
0.2520000000,40.4821765685
0.2530000000,40.4915413627
0.2540000000,40.5008707028
0.2550000000,40.5101648592
0.2560000000,40.5194240990
0.2570000000,40.5286486864
0.2580000000,40.5378388826
0.2590000000,40.5469949457
0.2600000000,40.5561171307
0.2610000000,40.5652056901
0.2620000000,40.5742608731
0.2630000000,40.5832829263
0.2640000000,40.5922720936
0.2650000000,40.6012286160
0.2660000000,40.6101527319
0.2670000000,40.6190446771
0.2680000000,40.6279046846
0.2690000000,40.6367329849
0.2700000000,40.6455298062
0.2710000000,40.6542953738
0.2720000000,40.6630299109
0.2730000000,40.6717336380
0.2740000000,40.6804067735
0.2750000000,40.6890495331
0.2760000000,40.6976621304
0.2770000000,40.7062447767
0.2780000000,40.7147976811
0.2790000000,40.7233210502
0.2800000000,40.7318150887
0.2810000000,40.7402799991
0.2820000000,40.7487159816
0.2830000000,40.7571232345
0.2840000000,40.7655019539
0.2850000000,40.7738523339
0.2860000000,40.7821745666
0.2870000000,40.7904688421
0.2880000000,40.7987353486
0.2890000000,40.8069742722
0.2900000000,40.8151857973
0.2910000000,40.8233701064
0.2920000000,40.8315273799
0.2930000000,40.8396577968
0.2940000000,40.8477615339
0.2950000000,40.8558387664
0.2960000000,40.8638896678
0.2970000000,40.8719144098
0.2980000000,40.8799131623
0.2990000000,40.8878860937
0.3000000000,40.8958333707
0.3010000000,40.9037551581
0.3020000000,40.9116516195
0.3030000000,40.9195229167
0.3040000000,40.9273692098
0.3050000000,40.9351906575
0.3060000000,40.9429874170
0.3070000000,40.9507596438
0.3080000000,40.9585074922
0.3090000000,40.9662311148
0.3100000000,40.9739306627
0.3110000000,40.9816062857
0.3120000000,40.9892581321
0.3130000000,40.9968863490
0.3140000000,41.0044910817
0.3150000000,41.0120724746
0.3160000000,41.0196306705
0.3170000000,41.0271658108
0.3180000000,41.0346780358
0.3190000000,41.0421674843
0.3200000000,41.0496342940
0.3210000000,41.0570786012
0.3220000000,41.0645005409
0.3230000000,41.0719002471
0.3240000000,41.0792778524
0.3250000000,41.0866334882
0.3260000000,41.0939672847
0.3270000000,41.1012793711
0.3280000000,41.1085698751
0.3290000000,41.1158389236
0.3300000000,41.1230866422
0.3310000000,41.1303131554
0.3320000000,41.1375185866
0.3330000000,41.1447030580
0.3340000000,41.1518666909
0.3350000000,41.1590096054
0.3360000000,41.1661319207
0.3370000000,41.1732337548
0.3380000000,41.1803152246
0.3390000000,41.1873764463
0.3400000000,41.1944175348
0.3410000000,41.2014386041
0.3420000000,41.2084397672
0.3430000000,41.2154211362
0.3440000000,41.2223828222
0.3450000000,41.2293249353
0.3460000000,41.2362475846
0.3470000000,41.2431508786
0.3480000000,41.2500349245
0.3490000000,41.2568998288
0.3500000000,41.2637456970
0.3510000000,41.2705726338
0.3520000000,41.2773807429
0.3530000000,41.2841701275
0.3540000000,41.2909408893
0.3550000000,41.2976931298
0.3560000000,41.3044269493
0.3570000000,41.3111424473
0.3580000000,41.3178397226
0.3590000000,41.3245188732
0.3600000000,41.3311799960
0.3610000000,41.3378231875
0.3620000000,41.3444485432
0.3630000000,41.3510561579
0.3640000000,41.3576461257
0.3650000000,41.3642185396
0.3660000000,41.3707734923
0.3670000000,41.3773110756
0.3680000000,41.3838313804
0.3690000000,41.3903344970
0.3700000000,41.3968205150
0.3710000000,41.4032895234
0.3720000000,41.4097416102
0.3730000000,41.4161768630
0.3740000000,41.4225953684
0.3750000000,41.4289972128
0.3760000000,41.4353824814
0.3770000000,41.4417512590
0.3780000000,41.4481036298
0.3790000000,41.4544396772
0.3800000000,41.4607594840
0.3810000000,41.4670631323
0.3820000000,41.4733507038
0.3830000000,41.4796222794
0.3840000000,41.4858779393
0.3850000000,41.4921177631
0.3860000000,41.4983418301
0.3870000000,41.5045502187
0.3880000000,41.5107430067
0.3890000000,41.5169202714
0.3900000000,41.5230820896
0.3910000000,41.5292285373
0.3920000000,41.5353596903
0.3930000000,41.5414756233
0.3940000000,41.5475764110
0.3950000000,41.5536621272
0.3960000000,41.5597328452
0.3970000000,41.5657886378
0.3980000000,41.5718295773
0.3990000000,41.5778557354
0.4000000000,41.5838671833
0.4010000000,41.5898639918
0.4020000000,41.5958462309
0.4030000000,41.6018139704
0.4040000000,41.6077672793
0.4050000000,41.6137062264
0.4060000000,41.6196308797
0.4070000000,41.6255413070
