# Descripiton: Distribuicao de Modulo de Distancia
# Domain: z in [0, 10]
# Units: z [adm.], mu [mag] 
# z,mu
0.1850000000,39.8262739496
0.1860000000,39.8392499566
0.1870000000,39.8521614472
0.1880000000,39.8650090941
0.1890000000,39.8777935592
0.1900000000,39.8905154944
0.1910000000,39.9031755409
0.1920000000,39.9157743302
0.1930000000,39.9283124839
0.1940000000,39.9407906140
0.1950000000,39.9532093230
0.1960000000,39.9655692045
0.1970000000,39.9778708429
0.1980000000,39.9901148135
0.1990000000,40.0023016834
0.2000000000,40.0144320110
0.2010000000,40.0265063464
0.2020000000,40.0385252314
0.2030000000,40.0504892001
0.2040000000,40.0623987786
0.2050000000,40.0742544854
0.2060000000,40.0860568312
0.2070000000,40.0978063198
0.2080000000,40.1095034473
0.2090000000,40.1211487029
0.2100000000,40.1327425689
0.2110000000,40.1442855206
0.2120000000,40.1557780268
0.2130000000,40.1672205494
0.2140000000,40.1786135442
0.2150000000,40.1899574604
0.2160000000,40.2012527412
0.2170000000,40.2124998234
0.2180000000,40.2236991382
0.2190000000,40.2348511105
0.2200000000,40.2459561597
0.2210000000,40.2570146995
0.2220000000,40.2680271380
0.2230000000,40.2789938777
0.2240000000,40.2899153159
0.2250000000,40.3007918446
0.2260000000,40.3116238507
0.2270000000,40.3224117156
0.2280000000,40.3331558163
0.2290000000,40.3438565245
0.2300000000,40.3545142070
0.2310000000,40.3651292262
0.2320000000,40.3757019396
0.2330000000,40.3862327002
0.2340000000,40.3967218564
0.2350000000,40.4071697522
0.2360000000,40.4175767274
0.2370000000,40.4279431174
0.2380000000,40.4382692533
0.2390000000,40.4485554623
0.2400000000,40.4588020673
0.2410000000,40.4690093873
0.2420000000,40.4791777374
0.2430000000,40.4893074288
0.2440000000,40.4993987689
0.2450000000,40.5094520613
0.2460000000,40.5194676061
0.2470000000,40.5294456994
0.2480000000,40.5393866342
0.2490000000,40.5492906998
0.2500000000,40.5591581818
0.2510000000,40.5689893628
0.2520000000,40.5787845219
0.2530000000,40.5885439348
0.2540000000,40.5982678742
0.2550000000,40.6079566093
0.2560000000,40.6176104065
0.2570000000,40.6272295288
0.2580000000,40.6368142365
0.2590000000,40.6463647865
0.2600000000,40.6558814332
0.2610000000,40.6653644278
0.2620000000,40.6748140186
0.2630000000,40.6842304513
0.2640000000,40.6936139688
0.2650000000,40.7029648110
0.2660000000,40.7122832156
0.2670000000,40.7215694171
0.2680000000,40.7308236478
0.2690000000,40.7400461372
0.2700000000,40.7492371125
0.2710000000,40.7583967982
0.2720000000,40.7675254164
0.2730000000,40.7766231867
0.2740000000,40.7856903265
0.2750000000,40.7947270508
0.2760000000,40.8037335721
0.2770000000,40.8127101008
0.2780000000,40.8216568450
0.2790000000,40.8305740106
0.2800000000,40.8394618013
0.2810000000,40.8483204186
0.2820000000,40.8571500619
0.2830000000,40.8659509285
0.2840000000,40.8747232137
0.2850000000,40.8834671108
0.2860000000,40.8921828108
0.2870000000,40.9008705031
0.2880000000,40.9095303748
0.2890000000,40.9181626114
0.2900000000,40.9267673964
0.2910000000,40.9353449111
0.2920000000,40.9438953355
0.2930000000,40.9524188473
0.2940000000,40.9609156228
0.2950000000,40.9693858362
0.2960000000,40.9778296601
0.2970000000,40.9862472654
0.2980000000,40.9946388212
0.2990000000,41.0030044950
0.3000000000,41.0113444527
0.3010000000,41.0196588584
0.3020000000,41.0279478746
0.3030000000,41.0362116624
0.3040000000,41.0444503812
0.3050000000,41.0526641887
0.3060000000,41.0608532414
0.3070000000,41.0690176941
0.3080000000,41.0771577000
0.3090000000,41.0852734111
0.3100000000,41.0933649777
0.3110000000,41.1014325487
0.3120000000,41.1094762718
0.3130000000,41.1174962931
0.3140000000,41.1254927573
0.3150000000,41.1334658079
0.3160000000,41.1414155868
0.3170000000,41.1493422350
0.3180000000,41.1572458916
0.3190000000,41.1651266950
0.3200000000,41.1729847819
0.3210000000,41.1808202880
0.3220000000,41.1886333475
0.3230000000,41.1964240935
0.3240000000,41.2041926580
0.3250000000,41.2119391717
0.3260000000,41.2196637639
0.3270000000,41.2273665632
0.3280000000,41.2350476965
0.3290000000,41.2427072900
0.3300000000,41.2503454685
0.3310000000,41.2579623558
0.3320000000,41.2655580747
0.3330000000,41.2731327465
0.3340000000,41.2806864920
0.3350000000,41.2882194304
0.3360000000,41.2957316802
0.3370000000,41.3032233588
0.3380000000,41.3106945824
0.3390000000,41.3181454664
0.3400000000,41.3255761251
0.3410000000,41.3329866717
0.3420000000,41.3403772187
0.3430000000,41.3477478773
0.3440000000,41.3550987580
0.3450000000,41.3624299703
0.3460000000,41.3697416226
0.3470000000,41.3770338226
0.3480000000,41.3843066769
0.3490000000,41.3915602914
0.3500000000,41.3987947710
0.3510000000,41.4060102195
0.3520000000,41.4132067403
0.3530000000,41.4203844354
0.3540000000,41.4275434065
0.3550000000,41.4346837540
0.3560000000,41.4418055777
0.3570000000,41.4489089765
0.3580000000,41.4559940484
0.3590000000,41.4630608909
0.3600000000,41.4701096004
0.3610000000,41.4771402725
0.3620000000,41.4841530023
0.3630000000,41.4911478839
0.3640000000,41.4981250106
0.3650000000,41.5050844751
0.3660000000,41.5120263694
0.3670000000,41.5189507844
0.3680000000,41.5258578108
0.3690000000,41.5327475381
0.3700000000,41.5396200554
0.3710000000,41.5464754509
0.3720000000,41.5533138122
0.3730000000,41.5601352262
0.3740000000,41.5669397791
0.3750000000,41.5737275564
0.3760000000,41.5804986430
0.3770000000,41.5872531231
0.3780000000,41.5939910801
0.3790000000,41.6007125970
0.3800000000,41.6074177560
0.3810000000,41.6141066388
0.3820000000,41.6207793262
0.3830000000,41.6274358987
0.3840000000,41.6340764360
0.3850000000,41.6407010171
0.3860000000,41.6473097208
0.3870000000,41.6539026248
0.3880000000,41.6604798064
0.3890000000,41.6670413426
0.3900000000,41.6735873094
0.3910000000,41.6801177823
0.3920000000,41.6866328366
0.3930000000,41.6931325465
0.3940000000,41.6996169861
0.3950000000,41.7060862287
0.3960000000,41.7125403471
0.3970000000,41.7189794136
0.3980000000,41.7254035000
0.3990000000,41.7318126774
0.4000000000,41.7382070165
0.4010000000,41.7445865875
0.4020000000,41.7509514602
0.4030000000,41.7573017036
0.4040000000,41.7636373863
0.4050000000,41.7699585766
0.4060000000,41.7762653421
0.4070000000,41.7825577500
0.4080000000,41.7888358669
0.4090000000,41.7950997591
0.4100000000,41.8013494923
0.4110000000,41.8075851317
0.4120000000,41.8138067422
0.4130000000,41.8200143881
0.4140000000,41.8262081333
0.4150000000,41.8323880412
0.4160000000,41.8385541748
0.4170000000,41.8447065966
0.4180000000,41.8508453688
0.4190000000,41.8569705530
0.4200000000,41.8630822104
0.4210000000,41.8691804018
0.4220000000,41.8752651877
0.4230000000,41.8813366280
0.4240000000,41.8873947822
0.4250000000,41.8934397095
0.4260000000,41.8994714687
0.4270000000,41.9054901180
0.4280000000,41.9114957154
0.4290000000,41.9174883184
0.4300000000,41.9234679842
0.4310000000,41.9294347695
0.4320000000,41.9353887307
0.4330000000,41.9413299238
0.4340000000,41.9472584044
0.4350000000,41.9531742278
0.4360000000,41.9590774487
0.4370000000,41.9649681217
0.4380000000,41.9708463010
0.4390000000,41.9767120402
0.4400000000,41.9825653929
0.4410000000,41.9884064120
0.4420000000,41.9942351504
0.4430000000,42.0000516602
0.4440000000,42.0058559937
0.4450000000,42.0116482024
0.4460000000,42.0174283376
0.4470000000,42.0231964504
0.4480000000,42.0289525914
0.4490000000,42.0346968110
0.4500000000,42.0404291592
0.4510000000,42.0461496857
0.4520000000,42.0518584397
0.4530000000,42.0575554704
0.4540000000,42.0632408265
0.4550000000,42.0689145565
0.4560000000,42.0745767083
0.4570000000,42.0802273298
0.4580000000,42.0858664686
0.4590000000,42.0914941717
0.4600000000,42.0971104861
0.4610000000,42.1027154584
0.4620000000,42.1083091349
0.4630000000,42.1138915615
0.4640000000,42.1194627840
0.4650000000,42.1250228479
0.4660000000,42.1305717982
0.4670000000,42.1361096799
0.4680000000,42.1416365374
0.4690000000,42.1471524152
0.4700000000,42.1526573572
0.4710000000,42.1581514073
0.4720000000,42.1636346088
0.4730000000,42.1691070050
0.4740000000,42.1745686389
0.4750000000,42.1800195532
0.4760000000,42.1854597902
0.4770000000,42.1908893922
0.4780000000,42.1963084010
0.4790000000,42.2017168583
0.4800000000,42.2071148055
0.4810000000,42.2125022839
0.4820000000,42.2178793341
0.4830000000,42.2232459970
0.4840000000,42.2286023129
0.4850000000,42.2339483221
