# Descripiton: Distribuicao de Modulo de Distancia
# Domain: z in [0, 10]
# Units: z [adm.], mu [mag] 
# z,mu
0.2890000000,41.0143671151
0.2900000000,41.0235518556
0.2910000000,41.0327094708
0.2920000000,41.0418401401
0.2930000000,41.0509440407
0.2940000000,41.0600213483
0.2950000000,41.0690722365
0.2960000000,41.0780968775
0.2970000000,41.0870954416
0.2980000000,41.0960680973
0.2990000000,41.1050150116
0.3000000000,41.1139363497
0.3010000000,41.1228322753
0.3020000000,41.1317029505
0.3030000000,41.1405485356
0.3040000000,41.1493691896
0.3050000000,41.1581650697
0.3060000000,41.1669363317
0.3070000000,41.1756831299
0.3080000000,41.1844056170
0.3090000000,41.1931039444
0.3100000000,41.2017782620
0.3110000000,41.2104287182
0.3120000000,41.2190554599
0.3130000000,41.2276586327
0.3140000000,41.2362383811
0.3150000000,41.2447948476
0.3160000000,41.2533281741
0.3170000000,41.2618385005
0.3180000000,41.2703259658
0.3190000000,41.2787907076
0.3200000000,41.2872328622
0.3210000000,41.2956525647
0.3220000000,41.3040499488
0.3230000000,41.3124251472
0.3240000000,41.3207782911
0.3250000000,41.3291095108
0.3260000000,41.3374189353
0.3270000000,41.3457066922
0.3280000000,41.3539729083
0.3290000000,41.3622177090
0.3300000000,41.3704412188
0.3310000000,41.3786435608
0.3320000000,41.3868248573
0.3330000000,41.3949852292
0.3340000000,41.4031247965
0.3350000000,41.4112436783
0.3360000000,41.4193419922
0.3370000000,41.4274198552
0.3380000000,41.4354773831
0.3390000000,41.4435146906
0.3400000000,41.4515318916
0.3410000000,41.4595290988
0.3420000000,41.4675064240
0.3430000000,41.4754639781
0.3440000000,41.4834018710
0.3450000000,41.4913202116
0.3460000000,41.4992191080
0.3470000000,41.5070986671
0.3480000000,41.5149589953
0.3490000000,41.5228001977
0.3500000000,41.5306223788
0.3510000000,41.5384256420
0.3520000000,41.5462100900
0.3530000000,41.5539758245
0.3540000000,41.5617229464
0.3550000000,41.5694515559
0.3560000000,41.5771617521
