# Descripiton: Distribuicao de Modulo de Distancia
# Domain: z in [0, 10]
# Units: z [adm.], mu [mag] 
# z,mu
0.5740000000,42.6190033983
0.5750000000,42.6235797403
0.5760000000,42.6281488891
0.5770000000,42.6327108684
0.5780000000,42.6372657019
0.5790000000,42.6418134129
0.5800000000,42.6463540248
0.5810000000,42.6508875609
0.5820000000,42.6554140442
0.5830000000,42.6599334978
0.5840000000,42.6644459445
0.5850000000,42.6689514071
0.5860000000,42.6734499083
0.5870000000,42.6779414705
0.5880000000,42.6824261162
0.5890000000,42.6869038677
0.5900000000,42.6913747472
0.5910000000,42.6958387768
0.5920000000,42.7002959785
0.5930000000,42.7047463741
0.5940000000,42.7091899855
0.5950000000,42.7136268342
0.5960000000,42.7180569418
0.5970000000,42.7224803299
0.5980000000,42.7268970196
0.5990000000,42.7313070322
0.6000000000,42.7357103889
0.6010000000,42.7401071108
0.6020000000,42.7444972186
0.6030000000,42.7488807333
0.6040000000,42.7532576756
0.6050000000,42.7576280660
0.6060000000,42.7619919252
0.6070000000,42.7663492735
0.6080000000,42.7707001313
0.6090000000,42.7750445188
0.6100000000,42.7793824561
0.6110000000,42.7837139632
0.6120000000,42.7880390602
0.6130000000,42.7923577668
0.6140000000,42.7966701028
0.6150000000,42.8009760878
0.6160000000,42.8052757414
0.6170000000,42.8095690831
0.6180000000,42.8138561322
0.6190000000,42.8181369081
0.6200000000,42.8224114299
0.6210000000,42.8266797167
0.6220000000,42.8309417875
0.6230000000,42.8351976613
0.6240000000,42.8394473569
0.6250000000,42.8436908930
0.6260000000,42.8479282883
0.6270000000,42.8521595614
0.6280000000,42.8563847308
0.6290000000,42.8606038148
0.6300000000,42.8648168317
0.6310000000,42.8690237998
0.6320000000,42.8732247373
0.6330000000,42.8774196622
0.6340000000,42.8816085924
0.6350000000,42.8857915459
0.6360000000,42.8899685405
0.6370000000,42.8941395939
0.6380000000,42.8983047237
0.6390000000,42.9024639475
0.6400000000,42.9066172829
0.6410000000,42.9107647471
0.6420000000,42.9149063577
0.6430000000,42.9190421316
0.6440000000,42.9231720863
0.6450000000,42.9272962387
0.6460000000,42.9314146059
0.6470000000,42.9355272048
0.6480000000,42.9396340522
0.6490000000,42.9437351650
0.6500000000,42.9478305599
0.6510000000,42.9519202535
0.6520000000,42.9560042623
0.6530000000,42.9600826029
0.6540000000,42.9641552916
0.6550000000,42.9682223448
0.6560000000,42.9722837788
0.6570000000,42.9763396098
