# Descripiton: Distribuicao de Modulo de Distancia
# Domain: z in [0, 10]
# Units: z [adm.], mu [mag] 
# z,mu
0.2400000000,40.1733081314
0.2410000000,40.1827512005
0.2420000000,40.1921564610
0.2430000000,40.2015242220
0.2440000000,40.2108547887
0.2450000000,40.2201484628
0.2460000000,40.2294055420
0.2470000000,40.2386263207
0.2480000000,40.2478110896
0.2490000000,40.2569601359
0.2500000000,40.2660737433
0.2510000000,40.2751521923
0.2520000000,40.2841957597
0.2530000000,40.2932047194
0.2540000000,40.3021793419
0.2550000000,40.3111198945
0.2560000000,40.3200266414
0.2570000000,40.3288998438
0.2580000000,40.3377397596
0.2590000000,40.3465466440
0.2600000000,40.3553207492
0.2610000000,40.3640623243
0.2620000000,40.3727716158
0.2630000000,40.3814488673
0.2640000000,40.3900943195
0.2650000000,40.3987082106
0.2660000000,40.4072907760
0.2670000000,40.4158422485
0.2680000000,40.4243628582
0.2690000000,40.4328528327
0.2700000000,40.4413123970
0.2710000000,40.4497417739
0.2720000000,40.4581411833
0.2730000000,40.4665108430
0.2740000000,40.4748509683
0.2750000000,40.4831617722
0.2760000000,40.4914434654
0.2770000000,40.4996962562
0.2780000000,40.5079203508
0.2790000000,40.5161159531
0.2800000000,40.5242832649
0.2810000000,40.5324224857
0.2820000000,40.5405338129
0.2830000000,40.5486174421
0.2840000000,40.5566735664
0.2850000000,40.5647023772
0.2860000000,40.5727040638
0.2870000000,40.5806788134
0.2880000000,40.5886268114
0.2890000000,40.5965482412
0.2900000000,40.6044432843
0.2910000000,40.6123121205
0.2920000000,40.6201549275
0.2930000000,40.6279718813
0.2940000000,40.6357631562
0.2950000000,40.6435289245
0.2960000000,40.6512693570
0.2970000000,40.6589846227
0.2980000000,40.6666748887
0.2990000000,40.6743403208
0.3000000000,40.6819810828
0.3010000000,40.6895973370
0.3020000000,40.6971892442
0.3030000000,40.7047569634
0.3040000000,40.7123006523
0.3050000000,40.7198204667
0.3060000000,40.7273165612
0.3070000000,40.7347890887
0.3080000000,40.7422382007
0.3090000000,40.7496640472
0.3100000000,40.7570667768
0.3110000000,40.7644465365
0.3120000000,40.7718034721
0.3130000000,40.7791377279
0.3140000000,40.7864494469
0.3150000000,40.7937387706
0.3160000000,40.8010058392
0.3170000000,40.8082507917
0.3180000000,40.8154737658
0.3190000000,40.8226748976
0.3200000000,40.8298543222
0.3210000000,40.8370121735
0.3220000000,40.8441485840
0.3230000000,40.8512636849
0.3240000000,40.8583576063
0.3250000000,40.8654304772
0.3260000000,40.8724824253
0.3270000000,40.8795135771
0.3280000000,40.8865240579
0.3290000000,40.8935139922
0.3300000000,40.9004835028
0.3310000000,40.9074327120
0.3320000000,40.9143617404
0.3330000000,40.9212707081
0.3340000000,40.9281597337
0.3350000000,40.9350289349
0.3360000000,40.9418784284
0.3370000000,40.9487083297
0.3380000000,40.9555187535
0.3390000000,40.9623098132
0.3400000000,40.9690816214
0.3410000000,40.9758342898
0.3420000000,40.9825679289
0.3430000000,40.9892826484
0.3440000000,40.9959785569
0.3450000000,41.0026557622
0.3460000000,41.0093143711
0.3470000000,41.0159544894
0.3480000000,41.0225762222
0.3490000000,41.0291796735
0.3500000000,41.0357649465
0.3510000000,41.0423321435
0.3520000000,41.0488813660
0.3530000000,41.0554127145
0.3540000000,41.0619262887
0.3550000000,41.0684221875
0.3560000000,41.0749005091
0.3570000000,41.0813613505
0.3580000000,41.0878048083
0.3590000000,41.0942309781
0.3600000000,41.1006399546
0.3610000000,41.1070318320
0.3620000000,41.1134067034
0.3630000000,41.1197646614
0.3640000000,41.1261057977
0.3650000000,41.1324302032
0.3660000000,41.1387379683
0.3670000000,41.1450291824
0.3680000000,41.1513039342
0.3690000000,41.1575623119
0.3700000000,41.1638044028
0.3710000000,41.1700302935
0.3720000000,41.1762400700
0.3730000000,41.1824338174
0.3740000000,41.1886116205
0.3750000000,41.1947735630
0.3760000000,41.2009197283
0.3770000000,41.2070501988
0.3780000000,41.2131650565
0.3790000000,41.2192643827
0.3800000000,41.2253482579
0.3810000000,41.2314167623
0.3820000000,41.2374699751
0.3830000000,41.2435079751
0.3840000000,41.2495308405
0.3850000000,41.2555386487
0.3860000000,41.2615314768
0.3870000000,41.2675094010
0.3880000000,41.2734724971
0.3890000000,41.2794208403
0.3900000000,41.2853545052
0.3910000000,41.2912735657
0.3920000000,41.2971780954
0.3930000000,41.3030681671
0.3940000000,41.3089438531
0.3950000000,41.3148052254
0.3960000000,41.3206523551
0.3970000000,41.3264853129
0.3980000000,41.3323041691
0.3990000000,41.3381089933
0.4000000000,41.3438998546
0.4010000000,41.3496768217
0.4020000000,41.3554399626
0.4030000000,41.3611893451
0.4040000000,41.3669250362
0.4050000000,41.3726471025
0.4060000000,41.3783556101
0.4070000000,41.3840506248
0.4080000000,41.3897322116
0.4090000000,41.3954004352
0.4100000000,41.4010553599
0.4110000000,41.4066970494
0.4120000000,41.4123255669
0.4130000000,41.4179409754
0.4140000000,41.4235433371
0.4150000000,41.4291327141
0.4160000000,41.4347091677
0.4170000000,41.4402727590
0.4180000000,41.4458235487
0.4190000000,41.4513615968
0.4200000000,41.4568869632
0.4210000000,41.4623997072
0.4220000000,41.4678998876
0.4230000000,41.4733875629
0.4240000000,41.4788627912
0.4250000000,41.4843256302
0.4260000000,41.4897761372
0.4270000000,41.4952143689
0.4280000000,41.5006403819
0.4290000000,41.5060542322
0.4300000000,41.5114559754
0.4310000000,41.5168456670
0.4320000000,41.5222233618
0.4330000000,41.5275891143
0.4340000000,41.5329429788
0.4350000000,41.5382850088
0.4360000000,41.5436152580
0.4370000000,41.5489337794
0.4380000000,41.5542406256
0.4390000000,41.5595358489
0.4400000000,41.5648195014
0.4410000000,41.5700916347
0.4420000000,41.5753523001
0.4430000000,41.5806015484
0.4440000000,41.5858394303
0.4450000000,41.5910659961
0.4460000000,41.5962812956
0.4470000000,41.6014853784
0.4480000000,41.6066782938
0.4490000000,41.6118600906
0.4500000000,41.6170308176
0.4510000000,41.6221905229
0.4520000000,41.6273392546
0.4530000000,41.6324770603
0.4540000000,41.6376039872
0.4550000000,41.6427200825
0.4560000000,41.6478253928
0.4570000000,41.6529199645
0.4580000000,41.6580038437
0.4590000000,41.6630770764
0.4600000000,41.6681397078
0.4610000000,41.6731917833
0.4620000000,41.6782333478
0.4630000000,41.6832644460
0.4640000000,41.6882851220
0.4650000000,41.6932954201
0.4660000000,41.6982953840
0.4670000000,41.7032850572
0.4680000000,41.7082644829
0.4690000000,41.7132337041
0.4700000000,41.7181927634
0.4710000000,41.7231417032
0.4720000000,41.7280805657
0.4730000000,41.7330093927
0.4740000000,41.7379282259
0.4750000000,41.7428371066
0.4760000000,41.7477360758
0.4770000000,41.7526251744
0.4780000000,41.7575044431
0.4790000000,41.7623739220
0.4800000000,41.7672336513
0.4810000000,41.7720836708
0.4820000000,41.7769240200
0.4830000000,41.7817547383
0.4840000000,41.7865758649
0.4850000000,41.7913874384
0.4860000000,41.7961894977
0.4870000000,41.8009820809
0.4880000000,41.8057652263
0.4890000000,41.8105389718
0.4900000000,41.8153033550
0.4910000000,41.8200584134
0.4920000000,41.8248041842
0.4930000000,41.8295407045
0.4940000000,41.8342680109
0.4950000000,41.8389861400
0.4960000000,41.8436951282
0.4970000000,41.8483950116
0.4980000000,41.8530858261
0.4990000000,41.8577676073
0.5000000000,41.8624403908
0.5010000000,41.8671042117
0.5020000000,41.8717591052
0.5030000000,41.8764051061
0.5040000000,41.8810422490
0.5050000000,41.8856705683
0.5060000000,41.8902900983
0.5070000000,41.8949008730
0.5080000000,41.8995029263
0.5090000000,41.9040962917
0.5100000000,41.9086810027
0.5110000000,41.9132570926
0.5120000000,41.9178245943
0.5130000000,41.9223835408
0.5140000000,41.9269339646
0.5150000000,41.9314758984
0.5160000000,41.9360093743
0.5170000000,41.9405344244
0.5180000000,41.9450510807
0.5190000000,41.9495593750
0.5200000000,41.9540593387
0.5210000000,41.9585510032
0.5220000000,41.9630343997
0.5230000000,41.9675095593
0.5240000000,41.9719765128
0.5250000000,41.9764352907
0.5260000000,41.9808859237
0.5270000000,41.9853284421
0.5280000000,41.9897628759
0.5290000000,41.9941892552
0.5300000000,41.9986076097
0.5310000000,42.0030179692
0.5320000000,42.0074203630
0.5330000000,42.0118148205
0.5340000000,42.0162013709
0.5350000000,42.0205800431
0.5360000000,42.0249508659
0.5370000000,42.0293138680
0.5380000000,42.0336690780
0.5390000000,42.0380165241
0.5400000000,42.0423562345
0.5410000000,42.0466882374
0.5420000000,42.0510125604
0.5430000000,42.0553292315
0.5440000000,42.0596382782
0.5450000000,42.0639397278
0.5460000000,42.0682336077
